,D614G_IC50,Omicron_IC50,BA2_IC50,BA3_IC50,SARS_IC50,R346K_IC50,BA2_12_1_IC50,BA4_IC50,BA2_13_IC50,source_group,group
OC220225-SN0045,0.0126825,0.01985,0.0160572,0.0132985,10,0.634666,0.25138,3.35797,0.01493694,BA.1,E2.1
OC220225-SN0046,0.0846963,0.742624,1.59697,2.13734,0.0578997,0.900242,1.728288,1.707657,1.724781,BA.1,F2
OC220225-SN0048,0.0345479,0.0778218,0.0905199,0.0396332,10,0.478707,0.0559864,0.166975,0.0672838,BA.1,E2.1
OC220225-SN0049,0.000629153,0.000567464,0.000804564,0.000701072,10,0.000534,0.00116148,0.873617,0.0009408,BA.1,B
OC220225-SN0051,0.0402171,0.0578345,0.04123,0.0328298,10,0.0435806,0.02562934,10,0.03758391,BA.1,D1
OC220225-SN0052,6.66897,10,10,NA,10,NA,NA,NA,NA,BA.1,F1
OC220225-SN0054,0.0163415,0.0530628,0.0543486,0.0596776,10,0.841935,0.924126,4.80658,0.0636857,BA.1,E2.1
OC220225-SN0055,0.0512854,0.262868,0.206281,0.18933,10,1.04509,0.870166,10,0.227587,BA.1,E2.1
OC220225-SN0056,6.875,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0057,4.56616,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0058,0.0183071,0.016233,0.0187241,0.0210174,10,0.01554366,0.0217006,0.108937,0.018367,BA.1,E2.1
OC220225-SN0059,0.00836254,0.397224,0.38534,0.680635,10,0.365089,0.356,10,1.19187,BA.1,C
OC220225-SN0061,0.0298417,0.0516194,0.03488,0.033723,10,0.0389425,0.0374295,10,0.044905,BA.1,D1
OC220225-SN0063,10,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0064,0.0355252,0.0968083,0.0886,0.0760304,10,0.0953467,0.03713515,0.0317691,0.0405344,BA.1,E2.1
OC220225-SN0065,0.0588749,3.5824,2.4928,3.47801,10,2.837387,10,10,10,BA.1,E2.1
OC220225-SN0066,0.0267811,0.0171418,0.0113263,0.01626269,10,0.01647044,0.0223,0.258471,0.01780495,BA.1,E2.1
OC220225-SN0067,0.0536293,0.135036,0.14356,0.1172,10,0.62091,0.3821,2.33598,0.1251426,BA.1,D1
OC220225-SN0068,0.775825,1.74717,1.98725,3.039097,10,10,10,10,2.68346,BA.1,E2.1
OC220225-SN0069,0.0258246,0.0560276,0.0439987,0.04139838,10,0.439547,0.4921,0.884008,0.0303987,BA.1,E2.1
OC220225-SN0070,0.0670553,0.0798234,0.0689691,0.0950773,10,1.47454,0.1982,2.69077,0.0809584,BA.1,E2.1
OC220225-SN0071,0.0052556,0.008394,0.00670831,0.00730898,0.25537,0.0060213,0.00629751,0.00566292,0.00779469,BA.1,E1
OC220225-SN0073,0.432991,3.57935,6.05172,5.09128,0.889902,10,5.5886,5.09555,4.31909,BA.1,F1
OC220225-SN0074,0.0224817,0.02314,0.0177721,0.0248843,10,0.0241949,0.028821,0.0446627,0.021375,BA.1,E2.1
OC220225-SN0075,2.79274,10,8.45967,10,6.27124,8.17611,7.73598,8.66775,7.98522,BA.1,F1
OC220225-SN0076,0.000875902,0.000673373,0.000641894,0.00042489,10,5e-04,0.269114,4.63607,0.00122043,BA.1,D1
OC220225-SN0077,0.0065592,0.0199048,0.0164345,0.01533836,10,0.01488329,10,10,0.0164892,BA.1,D1
OC220225-SN0078,0.0289745,0.031095,0.0132485,0.0388041,10,0.0302125,10,10,2.01378,BA.1,D1
OC220225-SN0079,0.0465858,0.015789,0.003523,0.00900536,10,0.0159889,0.00809567,0.00772852,0.0092848,BA.1,E2.1
OC220225-SN0080,0.804065,0.742809,0.605626,0.992996,10,0.781342,8.86692,10,0.621635,BA.1,E2.2
OC220225-SN0081,10,10,10,10,3.6148,10,10,10,10,BA.1,F1
OC220225-SN0082,10,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0083,0.408823,0.656992,0.563014,0.486464,10,0.533874,0.796848,10,0.667694,BA.1,E2.2
OC220225-SN0085,0.0221841,0.0632251,0.0772,0.0309922,10,0.0905351,0.0603796,0.05792,0.0717445,BA.1,E1
OC220225-SN0086,10,10,10,10,NA,10,10,10,10,BA.1,F1
OC220225-SN0087,0.696466,0.0723497,0.0817426,0.0928881,10,0.0661336,0.093409,10,0.07722,BA.1,E2.1
OC220225-SN0088,10,10,10,10,2.11636,10,10,10,10,BA.1,F1
OC220225-SN0089,0.959194,1.03006,0.96533,1.141606,10,0.714135,6.25582,10,0.926673,BA.1,E2.2
OC220225-SN0090,0.029379,0.05516,0.07986,0.0420882,10,0.0980398,0.0590096,10,0.0507883,BA.1,E2.1
OC220225-SN0091,0.00917698,0.0330534,0.048912,10,10,0.02688827,10,10,10,BA.1,F3
OC220225-SN0092,6.321,8.43187,5.39669,4.7459,10,5.45051,6.5716,5.93741,5.94294,BA.1,E2.2
OC220225-SN0096,0.18376,0.04977,0.0405977,0.0515008,10,0.0668899,0.0677625,0.362197,0.0623408,BA.1,E2.2
OC220225-SN0097,10,10,10,10,5.52826,10,10,10,10,BA.1,F1
OC220225-SN0098,0.0256695,0.0825408,0.0575323,0.0440772,10,0.0619929,0.9788,10,0.251096,BA.1,D1
OC220225-SN0099,0.056571,0.0506781,0.0310419,0.0429956,10,1.05396,0.1098006,10,0.0434477,BA.1,D1
OC220225-SN0100,10,10,10,10,4.5696,10,10,10,10,BA.1,E2.2
OC220225-SN0102,1.5774,1.23024,1.75014,2.04816,0.222456,1.71806,1.59927,1.630047,1.856771,BA.1,F1
OC220225-SN0103,4.54203,6.57222,5.39477,4.95734,0.736795,6.65038,5.5886,5.82236,4.14767,BA.1,F1
OC220225-SN0104,0.106687,0.121242,0.12533,0.1229814,10,0.1335699,0.10223,0.108402,0.1218519,BA.1,E2.2
OC220225-SN0105,10,10,10,10,0.886014,10,10,10,10,BA.1,F1
OC220225-SN0106,0.186955,0.170535,0.198409,0.187905,10,0.685865,0.174218,0.171849,0.237826,BA.1,E2.2
OC220225-SN0108,0.0194078,0.0010394,0.000903269,0.00194433,10,0.0018157,0.00228808,2.59726,0.000834877,BA.1,D1
OC220225-SN0109,1.63604,3.66128,3.53887,3.65828,1.22695,3.68554,2.774406,3.73893,3.17805,BA.1,F1
OC220225-SN0110,0.810463,0.971603,0.903347,1.09945,0.449347,1.23186,0.756602,0.856399,0.968129,BA.1,F1
OC220225-SN0111,1.69795,3.21615,3.0003,2.05679,0.395826,2.78797,2.43624,2.9597,2.86514,BA.1,F1
OC220225-SN0112,0.462791,0.4266,0.250814,0.24328,10,0.346686,0.44046,3.593,0.337609,BA.1,E2.1
OC220225-SN0113,0.868441,0.692544,0.560758,0.439803,10,0.518553,0.83989,2.37216,0.611971,BA.1,E2.2
OC220225-SN0114,10,10,10,10,0.241705,10,10,10,10,BA.1,E2.2
OC220225-SN0115,1.12282,0.687791,0.750266,0.873579,10,0.586174,0.820161,10,0.719794,BA.1,E2.2
OC220225-SN0116,7.58116,10,10,10,8.20936,10,10,10,10,BA.1,F1
OC220225-SN0117,10,10,10,10,0.193557,10,10,10,10,BA.1,F1
OC220225-SN0118,0.202058,0.584335,0.478891,0.349642,10,0.511322,4.17163,10,0.638853,BA.1,E2.1
OC220225-SN0119,10,10,10,10,1.61299,10,10,10,10,BA.1,E2.2
OC220225-SN0120,10,10,10,10,NA,10,10,10,10,BA.1,F1
OC220225-SN0121,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0122,10,10,10,10,6.10749,10,10,10,10,BA.1,E3
OC220225-SN0124,0.338892,3.36879,3.21801,3.09948,10,3.44171,2.150745,3.10681,3.40277,BA.1,E2.2
OC220225-SN0125,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0126,10,10,10,10,0.694278,10,10,10,10,BA.1,F1
OC220225-SN0127,6.28622,5.53185,4.98096,3.48558,10,4.54774,5.44116,4.24542,5.69077,BA.1,E2.2
OC220225-SN0128,6.283,5.24993,6.23078,4.77672,0.336825,5.20053,9.94102,6.83465,7.58409,BA.1,E2.2
OC220225-SN0129,0.609097,0.599635,0.47256,0.79371,10,0.638475,0.89685,10,0.80573,BA.1,E2.2
OC220225-SN0130,10,10,10,10,NA,10,10,10,10,BA.1,F1
OC220225-SN0131,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0132,10,10,10,10,10,10,10,10,10,BA.1,D1
OC220225-SN0134,10,10,10,10,6.18656,10,10,10,10,BA.1,E3
OC220225-SN0136,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0137,1.36178,1.92213,1.927822,1.43497,10,3.0276,1.473405,1.483669,1.665141,BA.1,E2.2
OC220225-SN0138,10,10,10,10,0.140235,10,10,10,10,BA.1,E2.2
OC220225-SN0139,5.22637,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0140,2.17403,9.70579,1.71508,2.52837,10,1.73509,1.654,1.8141,1.702683,BA.1,E2.2
OC220225-SN0142,10,10,10,10,0.198612,10,10,10,10,BA.1,F1
OC220225-SN0143,10,10,10,10,0.750475,10,10,10,10,BA.1,E2.2
OC220225-SN0144,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0145,6.04571,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0146,0.00337673,0.0187271,0.017893,0.01912252,10,0.0185416,0.0162444,1.28951,0.01402268,BA.1,E2.1
OC220225-SN0147,0.00346098,5e-04,0.00058,0.00154614,10,0.000751155,0.000601744,1.16242,0.000531027,BA.1,B
OC220225-SN0148,5.16543,1.30912,2.59391,1.30816,0.319508,1.295073,1.267086,1.325955,1.5217,BA.1,E2.2
OC220225-SN0149,0.37085,0.195133,0.373689,0.227925,10,0.357294,0.27444,0.29914,0.279513,BA.1,E2.2
OC220225-SN0150,10,0.688961,0.592373,0.693147,10,0.35115,0.660976,0.658262,0.631847,BA.1,E2.2
OC220225-SN0151,10,10,10,10,0.120856,10,10,10,10,BA.1,E2.2
OC220225-SN0152,0.0221451,0.02234,0.0180035,0.0153414,10,0.382198,0.116632,1.97608,0.0211608,BA.1,E2.1
OC220225-SN0153,6.53292,7.05178,6.98759,6.02091,10,6.97499,7.3396,7.9081,6.79634,BA.1,E2.2
OC220225-SN0154,1.672,0.715517,0.84597,0.89408,10,0.610051,0.939012,0.725102,0.666499,BA.1,E3
OC220225-SN0155,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0157,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0158,10,10,10,10,9.80975,10,10,10,10,BA.1,E2.2
OC220225-SN0159,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0160,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0161,10,1.44376,2.328,2.07362,10,5.1815,4.78642,10,5.70068,BA.1,E2.2
OC220225-SN0163,1.07768,0.879199,1.07376,1.01119,10,0.890929,1.08894,0.88149,1.04347,BA.1,E2.2
OC220225-SN0164,10,10,10,10,0.355677,10,10,10,10,BA.1,E3
OC220225-SN0165,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0166,10,10,10,10,2.20648,10,10,10,10,BA.1,E2.2
OC220225-SN0167,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0168,10,3.11833,3.56101,3.85978,10,4.29471,3.649264,2.90108,3.57448,BA.1,E2.2
OC220225-SN0170,2.35717,1.7177,2.45406,2.46694,10,2.04711,2.531921,2.52149,2.6123,BA.1,E2.2
OC220225-SN0171,0.980235,0.970092,1.08765,1.13664,10,0.895218,0.91881,0.823575,0.816135,BA.1,E3
OC220225-SN0172,4.97609,6.61702,7.51139,6.16322,10,6.90018,6.41137,7.37251,7.8519,BA.1,E2.2
OC220225-SN0173,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0174,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0175,10,3.97164,2.56392,4.0912,10,3.09338,4.10974,3.93548,2.86148,BA.1,E3
OC220225-SN0177,10,10,10,10,2.21891,10,10,10,10,BA.1,E2.2
OC220225-SN0178,10,3.00719,4.71794,3.981,10,3.64775,5.00088,4.49194,3.35812,BA.1,E3
OC220225-SN0179,10,7.8386,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0180,10,10,10,10,1.15848,10,10,10,10,BA.1,E3
OC220225-SN0181,1.30092,1.639095,1.91246,1.594818,10,5.6452,2.83617,3.35739,1.886353,BA.1,E2.2
OC220225-SN0182,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0183,10,9.71571,10,10,1.23354,10,10,10,10,BA.1,E3
OC220225-SN0184,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0185,10,9.58734,10,10,0.304346,10,8.23373,10,10,BA.1,E3
OC220225-SN0186,10,3.0395,3.04006,4.063,0.83035,3.42083,3.83308,3.54507,4.24778,BA.1,E2.2
OC220225-SN0187,0.0547,0.0035,0.006243,0.00594323,10,0.00218077,0.00420498,0.985114,0.00292487,BA.1,B
OC220225-SN0188,2.0193,2.41462,2.69843,2.4735,10,2.38689,3.12804,4.0807,2.5179,BA.1,E3
OC220225-SN0189,10,9.74911,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0190,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0191,10,10,10,10,1.03787,10,10,10,10,BA.1,E3
OC220225-SN0193,10,3.86332,3.71161,10,10,10,10,10,10,BA.1,E3
OC220225-SN0194,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0195,2.01521,1.94484,1.7751,1.71684,2.48292,1.577189,0.998646,1.449763,1.702698,BA.1,E3
OC220225-SN0196,5.26894,4.48979,3.89339,3.13559,4.51237,4.03796,3.83211,5.08438,5.26682,BA.1,E2.2
OC220225-SN0197,3.03496,2.23058,3.74221,3.29973,2.31238,3.50368,3.42843,3.83849,3.69485,BA.1,E2.2
OC220225-SN0198,2.46788,4.0719,5.83671,5.1783,0.281813,4.43322,5.13348,3.90131,5.44361,BA.1,E3
OC220225-SN0199,10,10,10,10,NA,10,10,10,10,BA.1,E3
OC220225-SN0200,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0201,4.47316,4.68401,4.71444,4.69231,10,3.67502,4.04,4.54,3.756,BA.1,E3
OC220225-SN0202,10,10,10,10,2.08142,10,10,10,10,BA.1,E2.2
OC220225-SN0203,10,10,10,10,2.48153,10,10,10,10,BA.1,E2.2
OC220225-SN0204,1.18623,3.70571,3.23313,3.689166,0.385426,3.72389,3.63748,3.03659,2.92723,BA.1,E3
OC220225-SN0205,0.8592,0.468067,0.688341,0.555942,10,0.467468,0.534957,0.46051,0.501802,BA.1,E2.2
OC220225-SN0207,10,3.78584,3.21297,3.991283,0.176724,3.912,2.291283,3.0192,2.9812,BA.1,E3
OC220225-SN0208,5.67678,3.06336,4.27615,3.46602,1.35199,3.82958,3.78452,3.6266,3.89868,BA.1,E3
OC220225-SN0210,8.32538,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0211,10,10,10,10,0.837519,10,10,10,10,BA.1,E2.2
OC220225-SN0212,1.65286,5.44882,3.77562,2.39051,10,3.60636,2.89368,3.88747,3.64816,BA.1,E3
OC220225-SN0213,1.55736,0.776396,1.11601,1.09352,0.352176,0.859312,0.528264,0.800154,0.807159,BA.1,E3
OC220225-SN0215,5.93285,10,10,10,2.58462,10,10,10,10,BA.1,E2.2
OC220225-SN0216,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0217,10,9.01794,6.53172,10,0.296086,10,10,10,10,BA.1,E2.2
OC220225-SN0218,10,8.25642,7.98319,7.6473,10,5.4916,6.696,5.78686,5.05446,BA.1,E2.2
OC220225-SN0219,10,10,10,10,10,10,10,10,10,BA.1,E2.2
OC220225-SN0220,4.90644,1.36649,2.79662,1.68759,3.27096,1.47963,2.21144,2.49802,2.35198,BA.1,E3
OC220225-SN0221,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0222,1.61323,1.67012,3.58382,2.6465,0.151717,1.82431,3.67466,2.43433,2.95655,BA.1,E3
OC220225-SN0223,10,10,10,10,7.2149,10,10,10,10,BA.1,E3
OC220225-SN0224,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0229,0.00741806,0.018502,0.0145512,0.0156148,10,0.0154748,0.01758123,0.01468581,0.0168009,BA.1,A
OC220225-SN0232,0.00976383,0.0688,0.0495575,0.045075,10,0.05693,0.0345042,0.0484559,0.0450541,BA.1,A
OC220225-SN0233,0.00334817,0.0813747,0.117066,0.0955371,10,0.0780062,0.0958194,0.735136,0.107924,BA.1,C
OC220225-SN0234,0.00103944,0.0809494,0.038606,0.055575,10,0.0411597,0.02824155,0.331998,0.0388109,BA.1,A
OC220225-SN0260,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0261,10,10,10,10,2.27169,10,10,10,10,BA.1,E2.2
OC220225-SN0263,2.42547,8.22744,6.42716,6.97723,10,5.74355,4.00861,10,5.66038,BA.1,E3
OC220225-SN0264,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0265,0.110619,0.011563,0.00967,0.0011393,10,0.00964123,0.01224888,10,0.00895045,BA.1,B
OC220225-SN0322,10,0.302978,0.31015,0.352263,10,0.410262,0.663527,10,0.67396,BA.1,E2.2
OC220225-SN0326,10,10,10,10,2.18851,10,10,10,10,BA.1,E3
OC220225-SN0330,1.46157,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0331,10,10,10,10,3.29438,10,10,10,10,BA.1,E3
OC220225-SN0332,10,10,10,10,1.43804,10,10,10,10,BA.1,E3
OC220225-SN0333,10,10,10,10,10,10,10,10,10,BA.1,E3
OC220225-SN0395,10,1.0163,NA,NA,10,NA,NA,NA,NA,BA.1,F1
OC220225-SN0400,0.126308,0.000892906,0.00127613,0.001066118,10,0.000961014,0.00117225,0.00284028,0.00109125,BA.1,A
OC220302-SN0410,0.142932,0.199778,0.188004,0.195875,10,0.14014,1.333698,10,1.138395,BA.1,E2.2
OC220302-SN0411,0.00464949,0.181378,0.16067,0.1480668,10,0.1820433,0.1498,10,0.1982,BA.1,A
OC220302-SN0412,0.00516671,0.214978,0.288354,0.328322,10,0.19587,0.43359,3.20238,0.33186,BA.1,A
OC220302-SN0416,0.0103332,1.30068,0.918155,0.746365,10,1.04883,0.874134,10,0.967486,BA.1,B
OC220302-SN0418,0.000897403,0.0836786,0.0876213,0.083529,10,0.065152,0.0773038,10,0.0830499,BA.1,B
OC220302-SN0419,0.00241046,0.145726,0.00765118,0.237634,10,0.1920929,0.00841877,0.00968996,0.0107577,BA.1,D2
OC220302-SN0420,0.130312,0.503447,1.36209,0.681045,10,0.650598,10,10,4.50553,BA.1,E2.2
OC220302-SN0423,0.0117676,0.146012,0.0999108,0.0872332,10,0.0910713,0.1173774,1.51019,0.0946937,BA.1,A
OC220302-SN0424,0.00105662,0.00412467,0.00402681,0.00440646,10,0.00583852,0.00489826,3.90154,0.00436354,BA.1,B
OC220302-SN0425,0.00384912,2.20374,1.587997,1.853,10,1.675396,1.0197767,10,1.706045,BA.1,A
OC220302-SN0426,0.000849598,0.0120952,0.0235748,0.0185818,10,0.0163094,0.0237472,10,0.0197352,BA.1,B
OC220302-SN0429,0.00492694,0.075934,0.0818738,0.0475424,10,0.0883282,0.0695088,0.0843042,0.0792891,BA.1,A
OC220302-SN0430,0.0024327,0.0828437,0.0144002,0.01476388,10,0.0578028,0.386318,10,0.0299546,BA.1,D1
OC220302-SN0431,0.00134495,0.00243185,0.00212258,0.001837902,10,0.00296579,0.0047008,10,0.00332876,BA.1,B
OC220302-SN0432,0.00197798,0.183205,0.141439,0.192475,10,0.146682,1.691367,10,1.677087,BA.1,C
OC220302-SN0433,0.000381998,0.454201,0.30541,0.2814021,10,0.469241,0.5238,10,0.609849,BA.1,C
OC220302-SN0436,0.00434277,0.0143144,0.00733961,0.00958262,10,0.01206295,0.01382954,5.03684,0.00866157,BA.1,D1
OC220302-SN0438,0.0020299,0.00593249,0.00483638,0.00783548,10,0.00739273,0.1699126,10,0.00728638,BA.1,D1
OC220302-SN0439,0.00940498,0.373241,0.0317116,0.0511467,10,0.0473603,0.0519887,0.764329,0.0404014,BA.1,A
OC220302-SN0441,0.00290998,0.00647231,0.0087234,0.00915043,10,0.00674755,0.0132732,1.24344,0.0108965,BA.1,B
OC220302-SN0442,0.0296785,0.0482571,0.036834,0.0337214,10,0.577637,0.4403,10,0.0579705,BA.1,E2.1
OC220302-SN0443,0.0021914,0.0140642,0.002224,0.00368508,10,0.0178469,0.01590676,10,0.00560456,BA.1,D1
OC220302-SN0444,0.00534104,0.0405045,0.0378638,0.0734238,10,0.0522393,0.0717164,2.41666,0.0391436,BA.1,E2.1
OC220302-SN0445,0.00572171,0.205302,0.0506131,0.22557,10,3.40041,0.1250072,0.448231,0.088815,BA.1,D1
OC220302-SN0446,0.012298,0.0227567,0.018734,0.0128756,10,0.0205434,0.00853098,0.117515,0.01377313,BA.1,A
OC220302-SN0447,0.00162169,0.0176946,0.0178364,0.03438,10,0.0178156,0.020508,1.83776,0.0203881,BA.1,B
OC220302-SN0448,0.00730047,0.00365358,0.00259583,0.001371254,10,0.00264385,0.00266166,0.00438466,0.00296486,BA.1,A
OC220302-SN0451,0.114212,0.104137,0.0633285,0.064033,10,0.1299578,0.22482,1.49342,0.0864179,BA.1,E2.1
OC220302-SN0454,0.00357233,0.010294,0.000990448,0.011743,10,0.0223994,0.001641674,2.28903,0.00103353,BA.1,D1
OC220302-SN0455,0.0164966,0.156585,0.0871804,0.134912,10,2.39127,0.203182,3.7997,0.0882597,BA.1,E2.1
OC220302-SN0456,0.00374679,0.041023,0.0116336,0.01397212,10,0.0372672,10,10,0.1782918,BA.1,D1
OC220302-SN0457,0.0121895,0.0936314,0.0889922,0.110196,10,0.0812912,0.1156232,10,0.0911734,BA.1,B
OC220302-SN0458,0.0005348,0.545863,0.00474259,0.24044,10,0.532931,0.00524613,0.00462873,0.00708239,BA.1,D2
OC220302-SN0460,0.00321392,0.018649,0.0138834,0.0181994,10,0.018357,0.01120503,1.82241,0.0140146,BA.1,A
OC220302-SN0461,1.60127,8.67855,8.60019,5.505556,10,8.71948,7.72602,10,8.594689,BA.1,E2.1
OC220302-SN0464,0.00159698,0.76263,0.00398578,0.0294754,10,0.654666,0.745318,10,0.003771324,BA.1,D1
OC220302-SN0467,0.00279843,0.0492,0.00261646,0.001832194,10,0.0506322,0.00327354,10,0.00352774,BA.1,D1
OC220302-SN0468,0.027101,0.100542,0.0202522,0.1051672,10,0.0991536,0.0231561,10,0.0234807,BA.1,D1
OC220302-SN0469,0.205237,3.98019,7.1294,7.73856,1.44139,5.95392,10,8.28494,10,BA.1,F2
OC220302-SN0470,0.0050868,0.00447312,0.00478992,0.00390055,10,0.00794494,0.00573996,3.35468,0.00564432,BA.1,B
OC220302-SN0471,0.00175247,0.000550601,0.00182432,0.00105731,10,0.00163335,0.000964418,0.112035,0.00095616,BA.1,B
OC220302-SN0472,0.00712202,0.0750187,0.0648654,0.0682,10,0.103914,0.0900632,10,0.0859391,BA.1,B
OC220302-SN0474,0.00764601,0.0255643,0.032526,0.0224818,10,0.0277122,0.01997568,10,0.0287074,BA.1,B
OC220302-SN0475,1.36232,6.349,8.15383,7.0732,10,5.15308,10,10,10,BA.1,E2.1
OC220302-SN0476,0.0383376,0.33423,0.155157,0.309398,10,0.204459,0.159517,4.56438,0.1742255,BA.1,E2.1
OC220302-SN0477,0.919747,4.93543,7.61218,5.30814,10,4.82959,4.9283,10,5.921,BA.1,C
OC220302-SN0480,0.0185456,0.0954582,0.0718771,0.0848214,10,0.0683951,0.10283,10,0.119283,BA.1,C
OC220302-SN0482,0.00381819,0.00638736,0.00337778,0.00636059,10,0.00532249,0.00429692,4.5696,0.00320296,BA.1,D1
OC220302-SN0483,0.00276756,0.00105195,0.000836732,0.000819612,10,0.000908044,0.0008124,10,0.00160935,BA.1,B
OC220302-SN0484,0.200815,1.9276,1.762931,2.549673,10,10,6.66286,4.60116,1.999036,BA.1,E2.1
OC220302-SN0485,0.334002,6.09697,8.30398,6.06208,0.154199,7.52684,10,7.98066,8.62416,BA.1,F2
OC220302-SN0486,0.0262372,0.17623,0.203511,0.122179,10,0.219651,10,10,3.46157,BA.1,E2.1
OC220302-SN0487,0.0704737,0.00808198,0.00625942,0.00626005,10,0.00898873,0.1134508,2.2257,0.00855513,BA.1,E2.1
OC220302-SN0488,0.00821806,0.0119718,0.00988616,0.01965118,10,0.807634,0.0895876,1.34516,0.0116555,BA.1,E2.1
OC220302-SN0489,0.00368406,0.00944031,0.007213,0.0315951,10,0.00916526,0.0278936,10,0.014037,BA.1,B
OC220302-SN0490,0.00185305,0.0097494,0.00130003,0.00838375,10,0.00950614,0.00324716,0.00196841,0.00230277,BA.1,D2
OC220302-SN0491,0.171051,4.05796,0.119559,0.705556,10,5.86122,10,10,0.514954,BA.1,D1
OC220302-SN0492,1.81556,4.59644,10,10,0.21007,5.25345,10,10,10,BA.1,F2
OC220302-SN0493,0.0041721,0.0380189,0.0527206,0.044694,10,0.0678056,0.0856318,10,0.0531568,BA.1,C
OC220302-SN0494,10,10,10,10,1.30489,10,10,10,10,BA.1,F1
OC220302-SN0499,0.00161781,0.0401043,0.0190916,0.0344381,10,0.0319,0.0374258,7.60988,0.0274688,BA.1,B
OC220302-SN0500,0.0478946,0.0766582,0.0612415,0.0508178,10,0.0583018,0.138669,0.141521,0.104018,BA.1,D1
OC220302-SN0501,3.60901,3.54611,2.78248,3.86889,5.42683,2.9297,2.42972,2.85376,2.99971,BA.1,F1
OC220302-SN0502,0.284591,1.29794,1.605123,1.39349,10,10,1.21735,5.56973,1.627447,BA.1,E2.1
OC220302-SN0503,10,10,10,10,0.498511,10,10,10,10,BA.1,F1
OC220302-SN0504,0.137976,0.160573,0.19734,0.221638,10,0.1849474,0.620432,10,0.231959,BA.1,E2.1
OC220302-SN0505,0.0169901,0.01797659,0.000934758,0.00335878,10,0.0228945,0.001340898,0.0035479,0.00168054,BA.1,D1
OC220302-SN0506,0.00115453,0.000832,0.000481947,0.0003029,10,0.000534713,0.000845384,0.0503797,0.00075208,BA.1,B
OC220302-SN0508,0.00484613,0.000822,0.001573456,0.00080064,10,0.0009051,0.00167205,8.66674,0.000789743,BA.1,B
OC220302-SN0509,0.00090636,0.000970783,0.0009686,0.000985825,10,0.000632,0.00102328,0.000878382,0.00137568,BA.1,D2
OC220302-SN0510,0.00136995,0.00123153,0.000514992,0.001004156,10,5e-04,0.001705186,0.227966,0.00123774,BA.1,B
OC220302-SN0511,1.55415,1.46418,1.7562,2.06297,0.616764,1.98125,2.09025,3.49862,2.55165,BA.1,F1
OC220302-SN0514,0.145514,1.80998,1.27097,1.0800592,10,1.437145,1.50229,1.92741,1.156463,BA.1,E2.2
OC220302-SN0516,0.0262906,0.0110419,0.0276754,0.0401306,10,0.01205957,9.18072,8.48237,0.718818,BA.1,C
OC220302-SN0517,0.00706281,0.00208604,0.00144,0.004902907,10,0.00104,0.004701,0.572464,0.00381362,BA.1,A
OC220302-SN0518,0.00505715,0.0147813,0.007432,0.0198037,10,0.0134324,10,10,1.08167,BA.1,C
OC220302-SN0519,0.00917238,0.0476456,0.0379359,0.0330613,10,0.03312,0.0474786,10,0.0399703,BA.1,B
OC220302-SN0520,0.0342234,0.0345404,0.0740792,0.100919,10,0.0415233,0.0795027,0.0705557,0.0831644,BA.1,C
OC220302-SN0522,1.0103,6.32415,5.77085,5.34016,0.751748,5.91689,5.15732,5.05991,5.17945,BA.1,F1
OC220302-SN0523,1.697,8.63803,7.75352,5.52626,10,6.37025,4.54649,6.84984,5.29619,BA.1,F1
